1.010	Send	Logical Clock: 1	Queue Length: 0	To VM 1
2.014	Receive	Logical Clock: 5	Queue Length: 1	From Network
3.020	Receive	Logical Clock: 6	Queue Length: 0	From Network
4.029	Receive	Logical Clock: 11	Queue Length: 0	From Network
5.036	Internal	Logical Clock: 12	Queue Length: 0	No external communication
6.043	Receive	Logical Clock: 19	Queue Length: 1	From Network
7.051	Receive	Logical Clock: 23	Queue Length: 0	From Network
8.060	Internal	Logical Clock: 24	Queue Length: 0	No external communication
9.067	Receive	Logical Clock: 32	Queue Length: 1	From Network
10.076	Receive	Logical Clock: 36	Queue Length: 0	From Network
11.082	Receive	Logical Clock: 41	Queue Length: 1	From Network
12.092	Receive	Logical Clock: 43	Queue Length: 1	From Network
13.097	Receive	Logical Clock: 46	Queue Length: 2	From Network
14.107	Receive	Logical Clock: 49	Queue Length: 2	From Network
15.112	Receive	Logical Clock: 51	Queue Length: 2	From Network
16.122	Receive	Logical Clock: 52	Queue Length: 3	From Network
17.128	Receive	Logical Clock: 56	Queue Length: 2	From Network
18.137	Receive	Logical Clock: 61	Queue Length: 3	From Network
19.143	Receive	Logical Clock: 62	Queue Length: 3	From Network
20.153	Receive	Logical Clock: 64	Queue Length: 3	From Network
21.158	Receive	Logical Clock: 69	Queue Length: 3	From Network
22.166	Receive	Logical Clock: 73	Queue Length: 4	From Network
23.175	Receive	Logical Clock: 76	Queue Length: 3	From Network
24.183	Receive	Logical Clock: 77	Queue Length: 3	From Network
25.189	Receive	Logical Clock: 85	Queue Length: 3	From Network
26.198	Receive	Logical Clock: 86	Queue Length: 3	From Network
27.204	Receive	Logical Clock: 93	Queue Length: 3	From Network
28.212	Receive	Logical Clock: 95	Queue Length: 4	From Network
29.220	Receive	Logical Clock: 102	Queue Length: 4	From Network
30.228	Receive	Logical Clock: 103	Queue Length: 6	From Network
31.235	Receive	Logical Clock: 107	Queue Length: 6	From Network
32.245	Receive	Logical Clock: 110	Queue Length: 6	From Network
33.250	Receive	Logical Clock: 111	Queue Length: 6	From Network
34.260	Receive	Logical Clock: 112	Queue Length: 6	From Network
35.269	Receive	Logical Clock: 117	Queue Length: 8	From Network
36.275	Receive	Logical Clock: 118	Queue Length: 8	From Network
37.282	Receive	Logical Clock: 120	Queue Length: 10	From Network
38.289	Receive	Logical Clock: 125	Queue Length: 10	From Network
39.297	Receive	Logical Clock: 127	Queue Length: 12	From Network
40.303	Receive	Logical Clock: 132	Queue Length: 12	From Network
41.312	Receive	Logical Clock: 135	Queue Length: 14	From Network
42.319	Receive	Logical Clock: 136	Queue Length: 15	From Network
43.327	Receive	Logical Clock: 137	Queue Length: 16	From Network
44.328	Receive	Logical Clock: 139	Queue Length: 16	From Network
45.330	Receive	Logical Clock: 143	Queue Length: 17	From Network
46.334	Receive	Logical Clock: 144	Queue Length: 17	From Network
47.341	Receive	Logical Clock: 145	Queue Length: 18	From Network
48.346	Receive	Logical Clock: 148	Queue Length: 17	From Network
49.356	Receive	Logical Clock: 151	Queue Length: 18	From Network
50.357	Receive	Logical Clock: 152	Queue Length: 19	From Network
51.360	Receive	Logical Clock: 153	Queue Length: 19	From Network
52.367	Receive	Logical Clock: 154	Queue Length: 20	From Network
53.375	Receive	Logical Clock: 158	Queue Length: 19	From Network
54.380	Receive	Logical Clock: 159	Queue Length: 18	From Network
55.387	Receive	Logical Clock: 160	Queue Length: 19	From Network
56.391	Receive	Logical Clock: 163	Queue Length: 19	From Network
57.401	Receive	Logical Clock: 164	Queue Length: 19	From Network
58.402	Receive	Logical Clock: 166	Queue Length: 18	From Network
59.412	Receive	Logical Clock: 167	Queue Length: 19	From Network
