1.012	Send All	Logical Clock: 1	Queue Length: 0	To VMs [0, 2]
2.015	Internal	Logical Clock: 2	Queue Length: 0	No external communication
3.021	Receive	Logical Clock: 11	Queue Length: 1	From Network
4.028	Receive	Logical Clock: 12	Queue Length: 2	From Network
5.035	Receive	Logical Clock: 19	Queue Length: 5	From Network
6.044	Receive	Logical Clock: 22	Queue Length: 6	From Network
7.051	Receive	Logical Clock: 24	Queue Length: 7	From Network
8.059	Receive	Logical Clock: 27	Queue Length: 10	From Network
9.067	Receive	Logical Clock: 28	Queue Length: 9	From Network
10.074	Receive	Logical Clock: 29	Queue Length: 9	From Network
11.082	Receive	Logical Clock: 32	Queue Length: 11	From Network
12.089	Receive	Logical Clock: 33	Queue Length: 11	From Network
13.098	Receive	Logical Clock: 38	Queue Length: 11	From Network
14.104	Receive	Logical Clock: 41	Queue Length: 11	From Network
15.112	Receive	Logical Clock: 42	Queue Length: 11	From Network
16.121	Receive	Logical Clock: 43	Queue Length: 12	From Network
17.128	Receive	Logical Clock: 44	Queue Length: 13	From Network
18.135	Receive	Logical Clock: 45	Queue Length: 17	From Network
19.143	Receive	Logical Clock: 52	Queue Length: 18	From Network
20.152	Receive	Logical Clock: 60	Queue Length: 18	From Network
21.158	Receive	Logical Clock: 61	Queue Length: 22	From Network
22.166	Receive	Logical Clock: 64	Queue Length: 23	From Network
23.174	Receive	Logical Clock: 68	Queue Length: 25	From Network
24.181	Receive	Logical Clock: 72	Queue Length: 28	From Network
25.189	Receive	Logical Clock: 80	Queue Length: 31	From Network
26.197	Receive	Logical Clock: 86	Queue Length: 34	From Network
27.206	Receive	Logical Clock: 90	Queue Length: 34	From Network
28.212	Receive	Logical Clock: 92	Queue Length: 36	From Network
29.222	Receive	Logical Clock: 93	Queue Length: 36	From Network
30.227	Receive	Logical Clock: 94	Queue Length: 36	From Network
31.229	Receive	Logical Clock: 99	Queue Length: 37	From Network
32.237	Receive	Logical Clock: 102	Queue Length: 37	From Network
33.244	Receive	Logical Clock: 103	Queue Length: 38	From Network
34.248	Receive	Logical Clock: 104	Queue Length: 37	From Network
35.257	Receive	Logical Clock: 105	Queue Length: 38	From Network
36.260	Receive	Logical Clock: 109	Queue Length: 40	From Network
37.261	Receive	Logical Clock: 110	Queue Length: 43	From Network
38.268	Receive	Logical Clock: 112	Queue Length: 44	From Network
39.271	Receive	Logical Clock: 116	Queue Length: 44	From Network
40.271	Receive	Logical Clock: 117	Queue Length: 46	From Network
41.272	Receive	Logical Clock: 118	Queue Length: 46	From Network
42.276	Receive	Logical Clock: 120	Queue Length: 47	From Network
43.285	Receive	Logical Clock: 121	Queue Length: 50	From Network
44.287	Receive	Logical Clock: 126	Queue Length: 53	From Network
45.290	Receive	Logical Clock: 127	Queue Length: 54	From Network
46.299	Receive	Logical Clock: 131	Queue Length: 53	From Network
47.301	Receive	Logical Clock: 132	Queue Length: 54	From Network
48.302	Receive	Logical Clock: 133	Queue Length: 57	From Network
49.304	Receive	Logical Clock: 134	Queue Length: 57	From Network
50.313	Receive	Logical Clock: 135	Queue Length: 60	From Network
51.315	Receive	Logical Clock: 136	Queue Length: 60	From Network
52.317	Receive	Logical Clock: 137	Queue Length: 61	From Network
53.322	Receive	Logical Clock: 140	Queue Length: 60	From Network
54.327	Receive	Logical Clock: 141	Queue Length: 61	From Network
55.335	Receive	Logical Clock: 143	Queue Length: 62	From Network
56.343	Receive	Logical Clock: 144	Queue Length: 63	From Network
57.353	Receive	Logical Clock: 145	Queue Length: 65	From Network
58.358	Receive	Logical Clock: 146	Queue Length: 66	From Network
59.363	Receive	Logical Clock: 147	Queue Length: 67	From Network
